titles,images,prices,ratings,purls
"iPhone 16 Plus 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal",https://m.media-amazon.com/images/I/711VzeHZAPL._AC_UY218_.jpg,"82,900",4.5,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mzk2MDcyMjU1OTQzOTYyOjE3NDU2NzMxOTc6c3BfbXRmOjMwMDM1MTQ4MTk3OTQzMjo6MDo6&url=%2FiPhone-16-Plus-128-GB%2Fdp%2FB0DGJCSH8R%2Fref%3Dsr_1_11_sspa%3Fcrid%3D8CTWKCJJG0BI%26dib%3DeyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI%26dib_tag%3Dse%26keywords%3Dmobiles%26qid%3D1745673197%26sprefix%3Dmobiles%252Caps%252C247%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink",https://m.media-amazon.com/images/I/61zwK7mmLtL._AC_UY218_.jpg,"82,900",4.4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mzk2MDcyMjU1OTQzOTYyOjE3NDU2NzMxOTc6c3BfbXRmOjMwMDM1MTQ4MTk4MDYzMjo6MDo6&url=%2FiPhone-16-256-GB-Control%2Fdp%2FB0DGJ3NWM4%2Fref%3Dsr_1_12_sspa%3Fcrid%3D8CTWKCJJG0BI%26dib%3DeyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI%26dib_tag%3Dse%26keywords%3Dmobiles%26qid%3D1745673197%26sprefix%3Dmobiles%252Caps%252C247%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Samsung Galaxy M06 5G (Blazing Black, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands | 25W Fast Charging | 4 Gen. of OS Upgrades | Without Charger",https://m.media-amazon.com/images/I/61HcowDwewL._AC_UY218_.jpg,"10,498",3.7,https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0DX5R87P8/ref=sr_1_13?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-13
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",https://m.media-amazon.com/images/I/81BGKLI+cWL._AC_UY218_.jpg,"8,999",4,https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW44CGS/ref=sr_1_14?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-14
"Redmi Note 14 5G (Titan Black, 8GB RAM 256GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera",https://m.media-amazon.com/images/I/71VzgeSWDQL._AC_UY218_.jpg,"20,998",3.8,https://www.amazon.in/Redmi-Note-14-5G-Dimensity/dp/B0DPFVDFT3/ref=sr_1_15?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-15
POCO C61 Diamond Dust Black 4GB RAM 64GB ROM,https://m.media-amazon.com/images/I/71fSTJ34SnL._AC_UY218_.jpg,"5,899",3.9,https://www.amazon.in/POCO-Diamond-Dust-Black-64GB/dp/B0CYBBB82G/ref=sr_1_16?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-16
"realme GT 6T 5G (Fluid Silver,12GB RAM+256GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M + AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display",https://m.media-amazon.com/images/I/61HyiMlCuTL._AC_UY218_.jpg,"26,998",4.3,https://www.amazon.in/realme-Storage-Flagship-Chipset-Brightest/dp/B0D3J8HYDD/ref=sr_1_17?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-17
"Lava Bold 5G (Sapphire Blue, 6GB RAM, 128GB Storage) | 3D Curved FHD+ AMOLED Display | Mediatek Dimensity 6300 Processor | IP64 Water Resistance | 64MP Rear Sensor | Supports All Indian 5G Bands",https://m.media-amazon.com/images/I/61ZkAlnVKHL._AC_UY218_.jpg,"13,499",,https://www.amazon.in/Lava-Bold-5G-Dimensity-Resistance/dp/B0F1N1KN2K/ref=sr_1_18?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-18
"Vivo T3 Lite 5G Smartphone (Vibrant Green, 6GB Ram 128GB Storage)",https://m.media-amazon.com/images/I/61VxzkiD1EL._AC_UY218_.jpg,"11,372",3.7,https://www.amazon.in/Vivo-Smartphone-Vibrant-Green-Storage/dp/B0D93HRDD3/ref=sr_1_19?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-19
"Oppo K12x 5G with 45W SUPERVOOC Charger in-The-Box (Breeze Blue, 128 GB) (6 GB RAM)",https://m.media-amazon.com/images/I/51oDDYRMifL._AC_UY218_.jpg,"12,997",4.1,https://www.amazon.in/Oppo-K12x-SUPERVOOC-Charger-Breeze/dp/B0DHCXDHWQ/ref=sr_1_20?crid=8CTWKCJJG0BI&dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs3S77pNaqM9LnUT-mdnt0UnGjJhou92_-7qJf9VaIzOC26V5BrNG8qRMhN38GdpHHp0MsujGecQfRquAW3xLEZz4o9HkI5gIF6AfY1QrqLvaQZY5aQUuqn7t8FvCbIeS4e6jREa3dE52WXBzMtyAkJjyEdWA3X8HXIinA5AVyYBaaQhmQiUQSHWbaaylcFIN3gXlXP0Vjr---euJTqj6rtA.iAl6IZXFpG7ERCPtG7g2NtoxLyA69kIpjVd_ZEG4_oI&dib_tag=se&keywords=mobiles&qid=1745673197&sprefix=mobiles%2Caps%2C247&sr=8-20
